pert_iname,target,broad_id
"[sar9,met(o2)11]-substance-p",TACR1,BRD-K89787693-001-01-1
A-1070722,GSK3A,BRD-K70329400-001-02-5
A-1070722,GSK3B,BRD-K70329400-001-02-5
A-1120,RBP4,BRD-K59060513-001-02-5
A-317491,P2RX3,BRD-K38019854-323-01-4
A-317491,P2RX3,BRD-K38019854-001-01-6
A-366,EHMT1,BRD-K06182768-001-06-4
A-366,EHMT1,BRD-K06182768-001-02-3
A-366,EHMT1,BRD-K06182768-001-03-1
A-366,EHMT1,BRD-K06182768-001-01-5
A-366,EHMT1,BRD-K06182768-001-04-9
A-366,EHMT2,BRD-K06182768-001-06-4
A-366,EHMT2,BRD-K06182768-001-02-3
A-366,EHMT2,BRD-K06182768-001-03-1
A-366,EHMT2,BRD-K06182768-001-01-5
A-366,EHMT2,BRD-K06182768-001-04-9
A-412997,DRD4,BRD-K62066682-300-01-0
A-438079,P2RX7,BRD-K13223831-003-01-7
A-582941,CHRNA7,BRD-K79743788-001-01-2
A-61603,ADRA1A,BRD-K13142315-004-01-2
A-61603,ADRA1B,BRD-K13142315-004-01-2
A-61603,ADRA1D,BRD-K13142315-004-01-2
A-674563,AKT1,BRD-K78177893-001-02-4
A-674563,PKIA,BRD-K78177893-001-02-4
A-674563,PRKACA,BRD-K78177893-001-02-4
A-784168,TRPV1,BRD-K87665527-001-01-3
A-803467,SCN10A,BRD-K28570407-001-02-0
A-803467,SCN10A,BRD-K28570407-001-04-6
A-804598,P2RX7,BRD-K76894955-001-02-1
A-839977,P2RX7,BRD-K60427831-001-01-0
A-867744,CHRNA3,BRD-K33059059-001-01-0
A-867744,CHRNA4,BRD-K33059059-001-01-0
A-867744,CHRNA7,BRD-K33059059-001-01-0
A-887826,SCN10A,BRD-K20239555-001-01-2
A-922500,DGAT1,BRD-K81614372-001-02-1
A-939572,SCD,BRD-K99308908-001-01-5
A-967079,TRPA1,BRD-K70744942-001-01-2
A-987306,ADORA1,BRD-K68982262-001-01-4
A-987306,AVPR1A,BRD-K68982262-001-01-4
A-987306,CCR1,BRD-K68982262-001-01-4
A-987306,CHRM1,BRD-K68982262-001-01-4
A-987306,CHRM2,BRD-K68982262-001-01-4
A-987306,CHRM3,BRD-K68982262-001-01-4
A-987306,CHRM4,BRD-K68982262-001-01-4
A-987306,DRD3,BRD-K68982262-001-01-4
A-987306,HTR1A,BRD-K68982262-001-01-4
A-987306,HTR1B,BRD-K68982262-001-01-4
A-987306,HTR2A,BRD-K68982262-001-01-4
A-987306,HTR2B,BRD-K68982262-001-01-4
A-987306,HTR3A,BRD-K68982262-001-01-4
A-987306,TACR2,BRD-K68982262-001-01-4
AA-29504,GABRA1,BRD-K13944729-001-01-7
AA-29504,GABRA4,BRD-K13944729-001-01-7
AA-29504,GABRB3,BRD-K13944729-001-01-7
abamectin,GABBR1,BRD-A25579302-001-04-8
abamectin,GABBR2,BRD-A25579302-001-04-8
abametapir,MMP9,BRD-K65498798-001-01-7
ABC-294640,SPHK2,BRD-A70814879-003-02-6
ABC-294640,SPHK2,BRD-A70814879-001-01-2
abemaciclib,CDK4,BRD-K33622447-066-01-9
abemaciclib,CDK6,BRD-K33622447-066-01-9
abiraterone,CYP11B1,BRD-K50071428-001-03-3
abiraterone,CYP17A1,BRD-K50071428-001-03-3
abiraterone-acetate,CYP17A1,BRD-K24048528-001-01-7
abiraterone-acetate,CYP17A1,BRD-K24048528-001-02-5
ABT-239,HRH1,BRD-K22749967-046-02-3
ABT-239,HRH2,BRD-K22749967-046-02-3
ABT-239,HRH3,BRD-K22749967-046-02-3
ABT-491,PTAFR,BRD-K97233161-003-01-5
ABT-639,CACNA1G,BRD-K11792081-001-01-4
ABT-639,CACNA1H,BRD-K11792081-001-01-4
ABT-639,CACNA1I,BRD-K11792081-001-01-4
ABT-702,ADK,BRD-K36021395-300-03-2
ABT-702,ADK,BRD-K36021395-300-02-4
ABT-724,DRD4,BRD-K37714784-305-02-1
ABT-737,BCL2,BRD-K56301217-001-10-8
ABT-737,BCL2,BRD-K56301217-001-07-4
ABT-737,BCL2L1,BRD-K56301217-001-10-8
ABT-737,BCL2L1,BRD-K56301217-001-07-4
ABT-737,BCL2L2,BRD-K56301217-001-10-8
ABT-737,BCL2L2,BRD-K56301217-001-07-4
ABT-751,TUBB,BRD-K91623615-001-05-0
ABT-751,TUBB,BRD-K91623615-001-06-8
ABT-751,TUBB,BRD-K91623615-001-04-3
AC-186,ESR2,BRD-K53788420-001-01-1
AC-261066,RARB,BRD-K31144453-001-02-2
AC-264613,F2RL1,BRD-K81548480-001-01-2
AC-264613,F2RL1,BRD-K81548480-001-02-0
AC-55541,PARP2,BRD-A27911617-001-01-7
AC-55649,RARA,BRD-K93176058-001-03-6
AC-55649,RARA,BRD-K93176058-001-04-4
AC-55649,RARB,BRD-K93176058-001-03-6
AC-55649,RARB,BRD-K93176058-001-04-4
AC-710,CSF1R,BRD-K15819326-001-01-6
AC-710,FLT3,BRD-K15819326-001-01-6
AC-710,KIT,BRD-K15819326-001-01-6
AC-710,PDGFRA,BRD-K15819326-001-01-6
AC-710,PDGFRB,BRD-K15819326-001-01-6
AC-7954-(+/-),UTS2R,BRD-A49544621-003-02-8
AC-7954-(+/-),UTS2R,BRD-A49544621-003-03-6
acalabrutinib,BTK,BRD-K64034691-001-01-9
acalisib,PIK3CB,BRD-K92517771-001-01-2
acalisib,PIK3CD,BRD-K92517771-001-01-2
acamprosate,GABRA1,BRD-K26262077-238-01-5
acamprosate,GABRA1,BRD-K26262077-001-01-7
acamprosate,GABRA2,BRD-K26262077-238-01-5
acamprosate,GABRA2,BRD-K26262077-001-01-7
acamprosate,GABRA3,BRD-K26262077-238-01-5
acamprosate,GABRA3,BRD-K26262077-001-01-7
acamprosate,GABRA4,BRD-K26262077-238-01-5
acamprosate,GABRA4,BRD-K26262077-001-01-7
acamprosate,GABRA5,BRD-K26262077-238-01-5
acamprosate,GABRA5,BRD-K26262077-001-01-7
acamprosate,GABRA6,BRD-K26262077-238-01-5
acamprosate,GABRA6,BRD-K26262077-001-01-7
acamprosate,GABRB1,BRD-K26262077-238-01-5
acamprosate,GABRB1,BRD-K26262077-001-01-7
acamprosate,GABRB2,BRD-K26262077-238-01-5
acamprosate,GABRB2,BRD-K26262077-001-01-7
acamprosate,GABRB3,BRD-K26262077-238-01-5
acamprosate,GABRB3,BRD-K26262077-001-01-7
acamprosate,GABRD,BRD-K26262077-238-01-5
acamprosate,GABRD,BRD-K26262077-001-01-7
acamprosate,GABRE,BRD-K26262077-238-01-5
acamprosate,GABRE,BRD-K26262077-001-01-7
acamprosate,GABRG1,BRD-K26262077-238-01-5
acamprosate,GABRG1,BRD-K26262077-001-01-7
acamprosate,GABRG2,BRD-K26262077-238-01-5
acamprosate,GABRG2,BRD-K26262077-001-01-7
acamprosate,GABRG3,BRD-K26262077-238-01-5
acamprosate,GABRG3,BRD-K26262077-001-01-7
acamprosate,GABRP,BRD-K26262077-238-01-5
acamprosate,GABRP,BRD-K26262077-001-01-7
acamprosate,GABRQ,BRD-K26262077-238-01-5
acamprosate,GABRQ,BRD-K26262077-001-01-7
acamprosate,GRIN1,BRD-K26262077-238-01-5
acamprosate,GRIN1,BRD-K26262077-001-01-7
acamprosate,GRIN2A,BRD-K26262077-238-01-5
acamprosate,GRIN2A,BRD-K26262077-001-01-7
acamprosate,GRIN2B,BRD-K26262077-238-01-5
acamprosate,GRIN2B,BRD-K26262077-001-01-7
acamprosate,GRIN2C,BRD-K26262077-238-01-5
acamprosate,GRIN2C,BRD-K26262077-001-01-7
acamprosate,GRIN2D,BRD-K26262077-238-01-5
acamprosate,GRIN2D,BRD-K26262077-001-01-7
acamprosate,GRIN3A,BRD-K26262077-238-01-5
acamprosate,GRIN3A,BRD-K26262077-001-01-7
acamprosate,GRIN3B,BRD-K26262077-238-01-5
acamprosate,GRIN3B,BRD-K26262077-001-01-7
acamprosate,GRM5,BRD-K26262077-238-01-5
acamprosate,GRM5,BRD-K26262077-001-01-7
acarbose,AMY2A,BRD-K44276885-001-06-6
acarbose,AMY2A,BRD-K44276885-001-05-8
acarbose,AMY2A,BRD-K44276885-001-08-2
acarbose,AMY2A,BRD-K44276885-001-07-4
acarbose,GAA,BRD-K44276885-001-06-6
acarbose,GAA,BRD-K44276885-001-05-8
acarbose,GAA,BRD-K44276885-001-08-2
acarbose,GAA,BRD-K44276885-001-07-4
