Metadata_broad_sample_Compound,Metadata_broad_sample_CRISPR,y
BRD-K78122587,BRDN0001480888,0
BRD-K78122587,BRDN0001482977,0
BRD-K78122587,BRDN0001483495,1
BRD-K78122587,BRDN0001484586,1
BRD-K78122587,BRDN0001147364,0
BRD-K78122587,BRDN0001147906,0
BRD-K78122587,BRDN0001490272,0
BRD-K78122587,BRDN0001488387,0
BRD-K78122587,BRDN0001480510,0
BRD-K78122587,BRDN0001483086,0
BRD-K78122587,BRDN0001487636,0
BRD-K78122587,BRDN0001487543,0
BRD-K78122587,BRDN0001484752,0
BRD-K78122587,BRDN0001481237,0
BRD-K78122587,BRDN0001485022,0
BRD-K78122587,BRDN0001486748,0
BRD-K78122587,BRDN0001488469,0
BRD-K78122587,BRDN0001479972,0
BRD-K78122587,BRDN0001479055,0
BRD-K78122587,BRDN0001486449,0
BRD-K78122587,BRDN0001487915,0
BRD-K78122587,BRDN0001488371,0
BRD-K78122587,BRDN0001488235,0
BRD-K78122587,BRDN0001488751,0
BRD-K78122587,BRDN0001483003,0
BRD-K78122587,BRDN0001489498,0
BRD-K78122587,BRDN0001489066,0
BRD-K78122587,BRDN0001487864,0
BRD-K78122587,BRDN0001480412,0
BRD-K78122587,BRDN0001485150,0
BRD-K78122587,BRDN0001148417,0
BRD-K78122587,BRDN0001489686,0
BRD-K78122587,BRDN0001485154,0
BRD-K78122587,BRDN0001481331,0
BRD-K78122587,BRDN0001481651,0
BRD-K78122587,BRDN0001481599,0
BRD-K78122587,BRDN0001483549,0
BRD-K78122587,BRDN0001487247,0
BRD-K78122587,BRDN0001487328,0
BRD-K78122587,BRDN0001484748,0
BRD-K78122587,BRDN0001489575,0
BRD-K78122587,BRDN0000987760,0
BRD-K78122587,BRDN0001144968,0
BRD-K78122587,BRDN0001485957,0
BRD-K78122587,BRDN0001482877,0
BRD-K78122587,BRDN0001486606,0
BRD-K78122587,BRDN0000735610,0
BRD-K78122587,BRDN0000735603,0
BRD-K78122587,BRDN0001487881,0
BRD-K78122587,BRDN0001479616,0
BRD-K78122587,BRDN0001493988,0
BRD-K78122587,BRDN0001053816,0
BRD-K78122587,BRDN0001483194,0
BRD-K78122587,BRDN0001487712,0
BRD-K78122587,BRDN0001484703,0
