classifier,formulation,features
cosine,compound,crispr
cosine,compound,crispr_orf
cosine,compound,orf
cosine,gene,crispr
cosine,gene,crispr_orf
cosine,gene,orf
cosine,pair,crispr
cosine,pair,crispr_orf
cosine,pair,orf
cosine1nn,compound,compound
cosine5nn,compound,compound
cosineavg,compound,compound
cosine1nn,gene,gene
cosine5nn,gene,gene
cosineavg,gene,gene
cosine1nn,pair,compound
cosine5nn,pair,compound
cosineavg,pair,compound
cosine1nn,pair,gene
cosine5nn,pair,gene
cosineavg,pair,gene
cosine1nn,pair,gene_compound
cosine5nn,pair,gene_compound
cosineavg,pair,gene_compound
