count,gene__crispr_orf
n_all,93330
n_all_connected,893
n_gene_compound,48320
n_gene_compound_across_splits,48320
n_gene_compound_connected,462
n_gene_compound_across_splits_connected,462
n_compounds,302
n_connected_compounds,302
n_genes,160
n_connected_genes,160
n_gene_compound_connected_FALSE_leak_FALSE,47858
n_gene_compound_connected_FALSE_leak_TRUE,0
n_gene_compound_connected_TRUE_leak_FALSE,462
n_gene_compound_connected_TRUE_leak_TRUE,0
n_gene_connected_FALSE_leak_FALSE,160
n_gene_connected_FALSE_leak_TRUE,0
n_gene_connected_TRUE_leak_FALSE,160
n_gene_connected_TRUE_leak_TRUE,0
n_compound_connected_FALSE_leak_FALSE,0
n_compound_connected_FALSE_leak_TRUE,302
n_compound_connected_TRUE_leak_FALSE,265
n_compound_connected_TRUE_leak_TRUE,37
