pert_iname_compound,gene,y_prob,classifier,formulation,features,gene_rank,gene_pct,compound_rank,compound_pct,gene_compound_global_rank,gene_compound_global_pct,gene_compound_local_pct,n_connected_genes_train,connected_genes_train,n_connected_compounds_train,connected_compounds_train,any_connected_train,which_connected_train
1-octanol,GJB4,0.04949893296372076,cosine1nn,compound,compound,160,1,32,0.5333333333333333,4909,0.5113541666666667,0.7666666666666666,0,,1,flufenamic-acid,TRUE,compound
"2,5-furandimethanol",HBB,0.07182969220953511,cosine1nn,compound,compound,160,1,27,0.45,4281,0.4459375,0.725,0,,0,,FALSE,neither
2-Oleoylglycerol,GPR119,0.0310403053703826,cosine1nn,compound,compound,160,1,37,0.6166666666666667,5862,0.610625,0.8083333333333333,0,,0,,FALSE,neither
A-987306,AVPR1A,0.0019718170417794,cosine1nn,compound,compound,157,0.98125,53,0.8833333333333333,8355,0.8703125,0.9322916666666666,0,,1,conivaptan,TRUE,compound
A-987306,CCR1,0.0019718170417794,cosine1nn,compound,compound,158,0.9875,53,0.8833333333333333,8368,0.8716666666666667,0.9354166666666668,0,,1,ZK811752,TRUE,compound
A-987306,CHRM2,0.0019718170417794,cosine1nn,compound,compound,159,0.99375,53,0.8833333333333333,8375,0.8723958333333334,0.9385416666666666,0,,2,aripiprazole|olanzapine,TRUE,compound
A-987306,CHRM3,0.0019718170417794,cosine1nn,compound,compound,160,1,53,0.8833333333333333,8376,0.8725,0.9416666666666668,0,,3,aripiprazole|olanzapine|zamifenacin,TRUE,compound
A-987306,HTR3A,0.9980281829582206,cosine1nn,compound,compound,4,0.025,1,0.01666666666666666,15,0.0015625,0.02083333333333333,0,,3,aripiprazole|olanzapine|procaine,TRUE,compound
BAN-ORL-24,OPRL1,0.4309479022286758,cosine1nn,compound,compound,160,1,3,0.05,514,0.05354166666666667,0.525,0,,1,MCOPPB,TRUE,compound
BAY-87-2243,HIF1A,0.09281840582579808,cosine1nn,compound,compound,160,1,24,0.4,3808,0.39666666666666667,0.7,0,,1,YC-1,TRUE,compound
BVT-948,PTPN2,0.4219935977823246,cosine1nn,compound,compound,160,1,4,0.06666666666666667,696,0.0725,0.5333333333333333,0,,0,,FALSE,neither
CCG-50014,RGS4,0.00848403845730755,cosine1nn,compound,compound,160,1,44,0.7333333333333333,7043,0.7336458333333333,0.8666666666666667,0,,1,CCG-63802,TRUE,compound
CYT-997,TUBB,0.8597809825534068,cosine1nn,compound,compound,2,0.0125,1,0.01666666666666666,54,0.005625,0.01458333333333333,0,,3,colchicine|epothilone-b|oxibendazole,TRUE,compound
DG-172,PPARD,0.20435119794073,cosine1nn,compound,compound,160,1,14,0.23333333333333336,2270,0.23645833333333333,0.6166666666666667,0,,0,,FALSE,neither
EI1,EZH2,0.14192407541856422,cosine1nn,compound,compound,160,1,20,0.3333333333333333,3151,0.3282291666666667,0.6666666666666666,0,,1,UNC1999,TRUE,compound
FPS-ZM1,AGER,0.00694398609552726,cosine1nn,compound,compound,160,1,46,0.7666666666666667,7231,0.7532291666666666,0.8833333333333333,0,,0,,FALSE,neither
GW-311616,ELANE,0.16538787318768838,cosine1nn,compound,compound,160,1,18,0.3,2832,0.295,0.65,0,,0,,FALSE,neither
L-Cystine,SLC7A11,2.75009350320099e-6,cosine1nn,compound,compound,160,1,60,1,9588,0.99875,1,0,,1,sulfasalazine,TRUE,compound
ML-228,HIF1A,0.00238983125426262,cosine1nn,compound,compound,160,1,52,0.8666666666666667,8254,0.8597916666666666,0.9333333333333332,0,,1,YC-1,TRUE,compound
N-alpha-Methylhistamine-dihydrochloride,HRH4,0.03535245198336745,cosine1nn,compound,compound,160,1,36,0.6,5712,0.595,0.8,0,,1,olanzapine,TRUE,compound
NBQX,GRIN2A,3.575121554133531e-5,cosine1nn,compound,compound,160,1,58,0.9666666666666668,9195,0.9578125,0.9833333333333334,0,,1,TCN201,TRUE,compound
NSC-95397,CDC25A,0.3870014080478736,cosine1nn,compound,compound,160,1,5,0.08333333333333333,753,0.0784375,0.5416666666666666,0,,0,,FALSE,neither
NVP-ADW742,IGF1R,0.354594306206411,cosine1nn,compound,compound,160,1,6,0.1,961,0.10010416666666666,0.55,0,,2,BMS-536924|ceritinib,TRUE,compound
NVP-AEW541,IGF1R,0.087659230413834055,cosine1nn,compound,compound,160,1,25,0.4166666666666667,3975,0.4140625,0.7083333333333334,0,,2,BMS-536924|ceritinib,TRUE,compound
NVP-HSP990,HSP90AA1,0.7368298022132753,cosine1nn,compound,compound,1,0.00625,1,0.01666666666666666,68,0.00708333333333333,0.01145833333333333,0,,2,ganetespib|geldanamycin,TRUE,compound
NVP-HSP990,HSP90AB1,0.26317019778672474,cosine1nn,compound,compound,160,1,12,0.2,1908,0.19875,0.6,0,,1,geldanamycin,TRUE,compound
OMDM-2,GPR119,0.00260983873451697,cosine1nn,compound,compound,160,1,51,0.85,8088,0.8425,0.925,0,,0,,FALSE,neither
PETCM,CASP3,3.217609398719623e-4,cosine1nn,compound,compound,160,1,55,0.9166666666666666,8680,0.9041666666666668,0.9583333333333331,0,,2,NQDI-1|minocycline,TRUE,compound
PF-04217903,MET,0.13923998415946143,cosine1nn,compound,compound,160,1,24,0.4,3677,0.3830208333333333,0.7,0,,2,BMS-536924|SGX523,TRUE,compound
PF-05190457,GHSR,0.01178415066112248,cosine1nn,compound,compound,160,1,42,0.7,6654,0.693125,0.85,0,,1,ibutamoren,TRUE,compound
PHA-793887,CDK2,0.17119607066640263,cosine1nn,compound,compound,157,0.98125,17,0.2833333333333333,2652,0.27625,0.6322916666666667,0,,6,BMS-536924|NSC-625987|RGB-286638|TG-02|aminopurvalanol-a|ryuvidine,TRUE,compound
PHA-793887,CDK4,0.17119607066640263,cosine1nn,compound,compound,158,0.9875,17,0.2833333333333333,2653,0.2763541666666667,0.6354166666666667,0,,4,NSC-625987|RGB-286638|arcyriaflavin-a|ryuvidine,TRUE,compound
PHA-793887,CDK7,0.17119607066640263,cosine1nn,compound,compound,159,0.99375,17,0.2833333333333333,2654,0.2764583333333333,0.6385416666666667,0,,2,RGB-286638|TG-02,TRUE,compound
PHA-793887,CDK9,0.17119607066640263,cosine1nn,compound,compound,160,1,17,0.2833333333333333,2655,0.2765625,0.6416666666666666,0,,2,RGB-286638|TG-02,TRUE,compound
RKI-1447,PAK1,0.2692204034937188,cosine1nn,compound,compound,160,1,11,0.18333333333333332,1782,0.185625,0.5916666666666667,0,,0,,FALSE,neither
SB-202190,AKT1,0.00392988361604296,cosine1nn,compound,compound,158,0.9875,50,0.8333333333333334,7870,0.8197916666666667,0.9104166666666668,0,,4,BMS-536924|GSK2110183|PD-98059|SB-203580,TRUE,compound
SB-202190,LCK,0.00392988361604296,cosine1nn,compound,compound,159,0.99375,50,0.8333333333333334,7961,0.8292708333333333,0.9135416666666668,0,,6,BMS-536924|PD-98059|PP-2|SB-203580|ZM-336372|ponatinib,TRUE,compound
SB-202190,MAPK14,0.00392988361604296,cosine1nn,compound,compound,160,1,50,0.8333333333333334,7964,0.8295833333333333,0.9166666666666669,0,,3,PD-98059|SB-203580|ZM-336372,TRUE,compound
SB-202190,MAPK8,0.996070116383957,cosine1nn,compound,compound,1,0.00625,1,0.01666666666666666,21,0.0021875,0.01145833333333333,0,,4,CC-401|PD-98059|SB-203580|SU3327,TRUE,compound
SRC-kinase-inhibitor-I,CSK,0.3037835786416738,cosine1nn,compound,compound,160,1,8,0.13333333333333333,1236,0.12875,0.5666666666666667,0,,0,,FALSE,neither
SRC-kinase-inhibitor-I,LCK,0.6962164213583262,cosine1nn,compound,compound,3,0.01875,2,0.03333333333333333,74,0.00770833333333333,0.02604166666666666,0,,6,BMS-536924|PD-98059|PP-2|SB-203580|ZM-336372|ponatinib,TRUE,compound
acalabrutinib,BTK,0.03538545310540558,cosine1nn,compound,compound,160,1,35,0.5833333333333334,5497,0.5726041666666667,0.7916666666666667,0,,1,AVL-292,TRUE,compound
acetylcysteine,GRIN2A,0.2346352275977383,cosine1nn,compound,compound,159,0.99375,13,0.21666666666666667,2056,0.21416666666666667,0.6052083333333333,0,,1,TCN201,TRUE,compound
acetylcysteine,SLC7A11,0.2346352275977383,cosine1nn,compound,compound,160,1,15,0.25,2133,0.2221875,0.625,0,,1,sulfasalazine,TRUE,compound
amiloride,ASIC1,0.1526714408289882,cosine1nn,compound,compound,159,0.99375,19,0.31666666666666665,2951,0.3073958333333333,0.6552083333333334,0,,2,benzamil|nafamostat,TRUE,compound
amiloride,SCNN1G,0.1526714408289882,cosine1nn,compound,compound,160,1,19,0.31666666666666665,3081,0.3209375,0.6583333333333333,0,,1,benzamil,TRUE,compound
