set_name,overlap_size,set_size,hit_size,universe_size,p_value,fdr
TUBB,2,2,8,60,0.01582,0.14237
IGF1R,2,2,8,60,0.01582,0.14237
HTR3A,1,2,8,60,0.25085,1.0
ELANE,0,2,8,60,1.0,1.0
HBB,0,2,8,60,1.0,1.0
KCNN4,0,2,8,60,1.0,1.0
AGER,0,2,8,60,1.0,1.0
SCNN1G,0,2,8,60,1.0,1.0
HIF1A,0,2,8,60,1.0,1.0
SLC7A11,0,2,8,60,1.0,1.0
F10,0,2,8,60,1.0,1.0
CACNA2D3,0,2,8,60,1.0,1.0
KCNQ2,0,2,8,60,1.0,1.0
GPR119,0,2,8,60,1.0,1.0
LCK,0,2,8,60,1.0,1.0
CYP3A4,0,2,8,60,1.0,1.0
CACNG1,0,2,8,60,1.0,1.0
GRIN2A,0,2,8,60,1.0,1.0
