set_name,overlap_size,set_size,hit_size,universe_size,p_value,fdr
Phagosome - Homo sapiens (human),3,3,13,67,0.00597,1.0
Gap junction - Homo sapiens (human),3,4,13,67,0.02108,1.0
Cell cycle - Homo sapiens (human),3,4,13,67,0.02108,1.0
PI3K-Akt signaling pathway - Homo sapiens (human),5,11,13,67,0.03054,1.0
Cushing syndrome - Homo sapiens (human),2,2,13,67,0.03528,1.0
Huntington disease - Homo sapiens (human),3,5,13,67,0.04651,1.0
Prostate cancer - Homo sapiens (human),3,5,13,67,0.04651,1.0
Amyotrophic lateral sclerosis - Homo sapiens (human),3,6,13,67,0.08205,1.0
Parkinson disease - Homo sapiens (human),3,6,13,67,0.08205,1.0
Oocyte meiosis - Homo sapiens (human),2,3,13,67,0.09389,1.0
p53 signaling pathway - Homo sapiens (human),2,3,13,67,0.09389,1.0
Taste transduction - Homo sapiens (human),2,3,13,67,0.09389,1.0
Pathways of neurodegeneration - multiple diseases - Homo sapiens (human),4,11,13,67,0.12907,1.0
Salmonella infection - Homo sapiens (human),4,11,13,67,0.12907,1.0
Alzheimer disease - Homo sapiens (human),4,11,13,67,0.12907,1.0
Viral carcinogenesis - Homo sapiens (human),2,4,13,67,0.16671,1.0
Glioma - Homo sapiens (human),2,4,13,67,0.16671,1.0
Small cell lung cancer - Homo sapiens (human),2,4,13,67,0.16671,1.0
Regulation of actin cytoskeleton - Homo sapiens (human),2,4,13,67,0.16671,1.0
Breast cancer - Homo sapiens (human),2,4,13,67,0.16671,1.0
Pathogenic Escherichia coli infection - Homo sapiens (human),3,8,13,67,0.17863,1.0
Prion disease - Homo sapiens (human),3,8,13,67,0.17863,1.0
Progesterone-mediated oocyte maturation - Homo sapiens (human),3,8,13,67,0.17863,1.0
Transcriptional misregulation in cancer - Homo sapiens (human),2,5,13,67,0.24684,1.0
Human papillomavirus infection - Homo sapiens (human),2,5,13,67,0.24684,1.0
Hepatitis C - Homo sapiens (human),2,5,13,67,0.24684,1.0
FoxO signaling pathway - Homo sapiens (human),2,5,13,67,0.24684,1.0
Melanoma - Homo sapiens (human),2,5,13,67,0.24684,1.0
Hepatocellular carcinoma - Homo sapiens (human),2,5,13,67,0.24684,1.0
Cholinergic synapse - Homo sapiens (human),2,5,13,67,0.24684,1.0
Human T-cell leukemia virus 1 infection - Homo sapiens (human),2,6,13,67,0.32923,1.0
Cellular senescence - Homo sapiens (human),2,6,13,67,0.32923,1.0
Long-term depression - Homo sapiens (human),1,2,13,67,0.35278,1.0
Chronic myeloid leukemia - Homo sapiens (human),1,2,13,67,0.35278,1.0
AMPK signaling pathway - Homo sapiens (human),1,2,13,67,0.35278,1.0
Gastric acid secretion - Homo sapiens (human),1,2,13,67,0.35278,1.0
Antigen processing and presentation - Homo sapiens (human),1,2,13,67,0.35278,1.0
Adherens junction - Homo sapiens (human),1,2,13,67,0.35278,1.0
Longevity regulating pathway - multiple species - Homo sapiens (human),1,2,13,67,0.35278,1.0
Longevity regulating pathway - Homo sapiens (human),1,2,13,67,0.35278,1.0
Pathways in cancer - Homo sapiens (human),4,16,13,67,0.37383,1.0
Measles - Homo sapiens (human),2,7,13,67,0.41027,1.0
Protein processing in endoplasmic reticulum - Homo sapiens (human),1,3,13,67,0.48223,1.0
Tight junction - Homo sapiens (human),1,3,13,67,0.48223,1.0
Pancreatic secretion - Homo sapiens (human),1,3,13,67,0.48223,1.0
mTOR signaling pathway - Homo sapiens (human),1,3,13,67,0.48223,1.0
Estrogen signaling pathway - Homo sapiens (human),1,3,13,67,0.48223,1.0
Serotonergic synapse - Homo sapiens (human),1,3,13,67,0.48223,1.0
Epstein-Barr virus infection - Homo sapiens (human),2,8,13,67,0.48749,1.0
Neuroactive ligand-receptor interaction - Homo sapiens (human),2,9,13,67,0.55928,1.0
