set_name,overlap_size,set_size,hit_size,universe_size,p_value,fdr
Pathogenic Escherichia coli infection,3,3,13,64,0.00686,0.62466
Parkin-Ubiquitin Proteasomal System pathway,3,3,13,64,0.00686,0.62466
G1 to S cell cycle control,3,4,13,64,0.02408,1.0
Cell cycle,3,4,13,64,0.02408,1.0
PI3K-Akt signaling pathway,5,11,13,64,0.03721,1.0
Monoamine GPCRs,2,2,13,64,0.03869,1.0
Glioblastoma signaling pathways,3,6,13,64,0.0925,1.0
Head and Neck Squamous Cell Carcinoma,2,3,13,64,0.10234,1.0
Retinoblastoma gene in cancer,2,3,13,64,0.10234,1.0
Thyroid stimulating hormone (TSH) signaling pathway,3,7,13,64,0.1418,1.0
MicroRNAs in cardiomyocyte hypertrophy,3,7,13,64,0.1418,1.0
Breast cancer pathway,2,4,13,64,0.1806,1.0
Small cell lung cancer,2,4,13,64,0.1806,1.0
Aryl Hydrocarbon Receptor Netpath,2,4,13,64,0.1806,1.0
miRNA regulation of DNA damage response,2,4,13,64,0.1806,1.0
Spinal Cord Injury,2,4,13,64,0.1806,1.0
"GPCRs, Other",2,4,13,64,0.1806,1.0
DNA damage response,2,4,13,64,0.1806,1.0
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,3,9,13,64,0.26107,1.0
Cardiac Hypertrophic Response,2,5,13,64,0.26582,1.0
Regulation of Actin Cytoskeleton,2,5,13,64,0.26582,1.0
Calcium Regulation in the Cardiac Cell,2,6,13,64,0.35248,1.0
IL-9 signaling pathway,1,2,13,64,0.36756,1.0
Pregnane X receptor pathway,1,2,13,64,0.36756,1.0
Nucleotide-binding Oligomerization Domain (NOD) pathway,1,2,13,64,0.36756,1.0
Ebstein-Barr virus LMP1 signaling,1,2,13,64,0.36756,1.0
Endochondral Ossification,1,2,13,64,0.36756,1.0
Constitutive Androstane Receptor Pathway,1,2,13,64,0.36756,1.0
Endochondral Ossification with Skeletal Dysplasias,1,2,13,64,0.36756,1.0
Somatroph axis (GH) and its relationship to dietary restriction and aging,1,2,13,64,0.36756,1.0
Tumor suppressor activity of SMARCB1,1,2,13,64,0.36756,1.0
Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling,1,2,13,64,0.36756,1.0
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways,2,7,13,64,0.43675,1.0
Regulation of Microtubule Cytoskeleton,1,3,13,64,0.50017,1.0
MECP2 and Associated Rett Syndrome,1,3,13,64,0.50017,1.0
Aryl Hydrocarbon Receptor Pathway,1,3,13,64,0.50017,1.0
Senescence and Autophagy in Cancer,1,3,13,64,0.50017,1.0
Integrated breast cancer pathway,1,3,13,64,0.50017,1.0
Ebola Virus Pathway on Host,1,3,13,64,0.50017,1.0
Apoptosis,1,3,13,64,0.50017,1.0
"GPCRs, Class A Rhodopsin-like",2,8,13,64,0.5161,1.0
Nuclear Receptors Meta-Pathway,2,9,13,64,0.58896,1.0
TNF-alpha signaling pathway,1,4,13,64,0.60669,1.0
Vitamin D Receptor Pathway,1,4,13,64,0.60669,1.0
Melanoma,1,4,13,64,0.60669,1.0
Non-small cell lung cancer,1,4,13,64,0.60669,1.0
T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection,1,4,13,64,0.60669,1.0
NRF2 pathway,1,5,13,64,0.69191,1.0
Pancreatic adenocarcinoma pathway,1,5,13,64,0.69191,1.0
EGFR Tyrosine Kinase Inhibitor Resistance,1,5,13,64,0.69191,1.0
Pathways Regulating Hippo Signaling,1,5,13,64,0.69191,1.0
Hippo-Merlin Signaling Dysregulation,1,5,13,64,0.69191,1.0
Insulin Signaling,1,5,13,64,0.69191,1.0
Focal Adhesion,1,6,13,64,0.75979,1.0
Corticotropin-releasing hormone signaling pathway,1,6,13,64,0.75979,1.0
VEGFA-VEGFR2 Signaling Pathway,1,8,13,64,0.85614,1.0
Ras signaling,1,8,13,64,0.85614,1.0
Oncostatin M Signaling Pathway,1,9,13,64,0.88953,1.0
Cannabinoid receptor signaling,0,2,13,64,1.0,1.0
ESC Pluripotency Pathways,0,3,13,64,1.0,1.0
Lung fibrosis,0,2,13,64,1.0,1.0
Myometrial relaxation and contraction pathways,0,5,13,64,1.0,1.0
miRNAs involvement in the immune response in sepsis,0,3,13,64,1.0,1.0
NRF2-ARE regulation,0,2,13,64,1.0,1.0
Phytochemical activity on NRF2 transcriptional activation,0,2,13,64,1.0,1.0
Tryptophan metabolism,0,2,13,64,1.0,1.0
Estrogen signaling pathway,0,2,13,64,1.0,1.0
G Protein Signaling Pathways,0,3,13,64,1.0,1.0
Eicosanoid metabolism via cyclooxygenases (COX),0,2,13,64,1.0,1.0
Arrhythmogenic Right Ventricular Cardiomyopathy,0,3,13,64,1.0,1.0
