pert_iname_compound,gene_compound_global_rank,moa,gene,disease_area,target,indication,pert_iname_normalized,clinical_phase
ixabepilone,3,microtubule stabilizing agent,TUBB,oncology,TUBB,breast cancer,ixabepilone,Launched
CYT-997,5,tubulin polymerization inhibitor,TUBB,,TUBB,,cyt997,Phase 2
PHA-793887,6,CDK inhibitor,CDK2,,CDK1|CDK2|CDK4|CDK5|CDK7|CDK9,,pha793887,Phase 1
ixabepilone,7,microtubule stabilizing agent,TUBB4B,oncology,TUBB,breast cancer,ixabepilone,Launched
A-987306,9,histamine receptor antagonist,CHRM3,,ADORA1|AVPR1A|CCR1|CHRM1|CHRM2|CHRM3|CHRM4|DRD3|HTR1A|HTR1B|HTR2A|HTR2B|HTR3A|TACR2,,a987306,Preclinical
A-987306,11,histamine receptor antagonist,HTR3A,,ADORA1|AVPR1A|CCR1|CHRM1|CHRM2|CHRM3|CHRM4|DRD3|HTR1A|HTR1B|HTR2A|HTR2B|HTR3A|TACR2,,a987306,Preclinical
PHA-793887,15,CDK inhibitor,CDK7,,CDK1|CDK2|CDK4|CDK5|CDK7|CDK9,,pha793887,Phase 1
NVP-HSP990,16,HSP inhibitor,HSP90AA1,,HSP90AA1|HSP90AB1,,nvphsp990,Phase 1
PHA-793887,19,CDK inhibitor,CDK9,,CDK1|CDK2|CDK4|CDK5|CDK7|CDK9,,pha793887,Phase 1
ixabepilone,24,microtubule stabilizing agent,TUBB3,oncology,TUBB,breast cancer,ixabepilone,Launched
A-987306,31,histamine receptor antagonist,CHRM2,,ADORA1|AVPR1A|CCR1|CHRM1|CHRM2|CHRM3|CHRM4|DRD3|HTR1A|HTR1B|HTR2A|HTR2B|HTR3A|TACR2,,a987306,Preclinical
PHA-793887,53,CDK inhibitor,CDK4,,CDK1|CDK2|CDK4|CDK5|CDK7|CDK9,,pha793887,Phase 1
NVP-ADW742,65,insulin growth factor receptor inhibitor,IGF1R,,IGF1R,,nvpadw742,Preclinical
danusertib,72,Aurora kinase inhibitor|growth factor receptor inhibitor,AURKB,,AURKA|AURKB|AURKC|FGFR1|NTRK1|RET|SLK,,danusertib,Phase 2
NVP-AEW541,74,IGF-1 inhibitor,IGF1R,,IGF1R|INSR,,nvpaew541,Preclinical
NVP-HSP990,96,HSP inhibitor,HSP90AB1,,HSP90AA1|HSP90AB1,,nvphsp990,Phase 1
SRC-kinase-inhibitor-I,169,SRC inhibitor,LCK,,CSK|LCK|RIPK2,,srckinaseinhibitori,Preclinical
gabapentin-enacarbil,178,adrenergic receptor agonist,CACNA2D3,neurology/psychiatry,CACNA1G,restless leg syndrome|postherpetic neuralgia,gabapentinenacarbil,Launched
PF-05190457,202,growth hormone secretagogue receptor inverse agonist,GHSR,,GHSR,,pf05190457,Phase 2
gabapentin-enacarbil,281,adrenergic receptor agonist,CACNB4,neurology/psychiatry,CACNA1G,restless leg syndrome|postherpetic neuralgia,gabapentinenacarbil,Launched
